filename,steps,time(s),final_energy(eV),Coordinates MAE(A)
02_AA,2,1.3692593574523926,-113.43974122851513,0.0
03_AA,2,1.3169894218444824,-150.6081251852256,0.007490089307537678
04_AA,4,1.4706170558929443,-262.1031232062619,0.007228214913880146
05_AA,3,1.3908169269561768,-336.43690192481637,0.007527284277073728
06_AA,4,1.4231107234954834,-447.92527317508006,0.005713596176948493
07_AA,5,1.3298444747924805,-485.0929511859326,0.0005283449822342834
08_AA,6,1.6975984573364258,-596.5827084068748,0.01356146640868678
09_AA,20,2.918654441833496,-708.0739919848393,0.006211815045308759
10_AA,6,1.4384698867797852,-782.4001886759436,0.0017753798336027564
11_AA,7,1.5819885730743408,-931.0562390276046,0.014124271735725709
12_AA,4,1.794048547744751,-1005.377195880062,0.002772762633270171
13_AA,4,1.5299046039581299,-1042.5422367402302,0.002316678733164138
14_AA,4,1.5623879432678223,-1154.0367386952896,0.00427598503902275
15_AA,4,1.4489212036132812,-1339.8549597605288,0.012953090485173723
16_AA,33,5.114013433456421,-1377.0203323085989,0.006956566557998353
17_AA,4,1.7668371200561523,-1451.3460290705061,0.004182135920637821
18_AA,4,1.5136895179748535,-1600.0004668089027,0.002833187471689938
19_AA,4,1.4261360168457031,-1785.8099634863056,0.006842798076441906
20_AA,4,1.430032730102539,-1822.9823632290238,0.013287661492061889
